Unit ID,School/Corporate,Staff ID,Fixed Period or Ongoing,Actual Pay,Gender,Indigenous Dsc,Age,Teaching/Non-Teaching,Length of Service (Months),Service_Years,Start_Age,Unrealistic_Service,Age Group,Tenure Group
Unit 2,Corporate,OXV6890,Ongoing," $68,000 ",Female,Non-Indigenous,46,Non-Teaching,38,3.1666666666666665,42.833333333333336,False,40–49,2–5 yrs
Unit 2,Corporate,UJW2049,Ongoing," $140,000 ",Female,Non-Indigenous,50,Non-Teaching,36,3.0,47.0,False,50–59,2–5 yrs
Unit 2,Corporate,KFD9476,Ongoing," $68,000 ",Female,Non-Indigenous,31,Non-Teaching,35,2.9166666666666665,28.083333333333332,False,30–39,2–5 yrs
Unit 2,Corporate,VTR1231,Ongoing," $68,000 ",Female,Non-Indigenous,30,Non-Teaching,34,2.8333333333333335,27.166666666666668,False,30–39,2–5 yrs
Unit 2,Corporate,VIU2374,Fixed Period," $160,000 ",Female,Non-Indigenous,47,Teaching,27,2.25,44.75,False,40–49,2–5 yrs
Unit 2,Corporate,CKE3941,Ongoing," $68,000 ",Female,Non-Indigenous,29,Non-Teaching,27,2.25,26.75,False,Under 30,2–5 yrs
Unit 2,Corporate,IUL7686,Ongoing," $130,000 ",Female,Non-Indigenous,31,Non-Teaching,21,1.75,29.25,False,30–39,New (<2 yrs)
Unit 2,Corporate,ABT2638,Ongoing," $70,000 ",Female,Non-Indigenous,38,Non-Teaching,20,1.6666666666666667,36.333333333333336,False,30–39,New (<2 yrs)
Unit 2,Corporate,MOA4509,Fixed Period," $68,000 ",Male,Non-Indigenous,32,Non-Teaching,20,1.6666666666666667,30.333333333333332,False,30–39,New (<2 yrs)
Unit 2,Corporate,GBY4192,Ongoing," $68,000 ",Male,Non-Indigenous,47,Non-Teaching,17,1.4166666666666667,45.583333333333336,False,40–49,New (<2 yrs)
Unit 2,Corporate,BIP3132,Fixed Period," $160,000 ",Female,Non-Indigenous,40,Teaching,15,1.25,38.75,False,40–49,New (<2 yrs)
Unit 2,Corporate,PPF8728,Ongoing," $68,000 ",Female,Non-Indigenous,29,Non-Teaching,14,1.1666666666666667,27.833333333333332,False,Under 30,New (<2 yrs)
Unit 2,Corporate,AAD1225,Ongoing," $130,000 ",Female,Non-Indigenous,47,Non-Teaching,14,1.1666666666666667,45.833333333333336,False,40–49,New (<2 yrs)
Unit 2,Corporate,JAP1572,Fixed Period," $160,000 ",Female,Non-Indigenous,56,Teaching,12,1.0,55.0,False,50–59,New (<2 yrs)
Unit 2,Corporate,MPL3088,Fixed Period," $160,000 ",Female,Non-Indigenous,39,Teaching,12,1.0,38.0,False,30–39,New (<2 yrs)
Unit 2,Corporate,JQW7803,Fixed Period," $160,000 ",Female,Non-Indigenous,54,Teaching,13,1.0833333333333333,52.916666666666664,False,50–59,New (<2 yrs)
Unit 2,Corporate,CHN1191,Ongoing," $70,000 ",Female,Non-Indigenous,46,Non-Teaching,9,0.75,45.25,False,40–49,New (<2 yrs)
Unit 2,Corporate,RTA8775,Ongoing," $70,000 ",Female,Non-Indigenous,38,Non-Teaching,6,0.5,37.5,False,30–39,New (<2 yrs)
Unit 2,Corporate,IKY2759,Fixed Period," $130,000 ",Female,Non-Indigenous,47,Non-Teaching,7,0.5833333333333334,46.416666666666664,False,40–49,New (<2 yrs)
Unit 2,Corporate,PAG4226,Ongoing," $65,000 ",Female,Non-Indigenous,27,Non-Teaching,5,0.4166666666666667,26.583333333333332,False,Under 30,New (<2 yrs)
Unit 2,Corporate,KHF5731,Fixed Period," $160,000 ",Female,Non-Indigenous,41,Teaching,5,0.4166666666666667,40.583333333333336,False,40–49,New (<2 yrs)
Unit 2,Corporate,KIX3116,Fixed Period," $68,000 ",Female,Non-Indigenous,44,Non-Teaching,5,0.4166666666666667,43.583333333333336,False,40–49,New (<2 yrs)
Unit 2,Corporate,JKS2018,Ongoing," $70,000 ",Female,Non-Indigenous,59,Non-Teaching,5,0.4166666666666667,58.583333333333336,False,50–59,New (<2 yrs)
Unit 2,Corporate,XTK4995,Ongoing," $68,000 ",Female,Non-Indigenous,30,Non-Teaching,4,0.3333333333333333,29.666666666666668,False,30–39,New (<2 yrs)
Unit 2,Corporate,EAQ5645,Fixed Period," $65,000 ",Female,Non-Indigenous,25,Non-Teaching,3,0.25,24.75,False,Under 30,New (<2 yrs)
Unit 2,Corporate,NVS5159,Fixed Period," $95,000 ",Male,Non-Indigenous,43,Non-Teaching,1,0.08333333333333333,42.916666666666664,False,40–49,New (<2 yrs)
Unit 3,Corporate,SFT4352,Fixed Period," $200,000 ",Female,Non-Indigenous,57,Non-Teaching,116,9.666666666666666,47.333333333333336,False,50–59,5–10 yrs
Unit 3,Corporate,PJK5122,Ongoing," $95,000 ",Female,Non-Indigenous,59,Non-Teaching,152,12.666666666666666,46.333333333333336,False,50–59,10+ yrs
Unit 3,Corporate,GVR5393,Ongoing," $100,000 ",Female,Non-Indigenous,58,Non-Teaching,105,8.75,49.25,False,50–59,5–10 yrs
Unit 3,Corporate,HRK5184,Ongoing," $100,000 ",Female,Non-Indigenous,52,Non-Teaching,67,5.583333333333333,46.416666666666664,False,50–59,5–10 yrs
Unit 3,Corporate,ZXS6521,Ongoing," $130,000 ",Female,Non-Indigenous,49,Non-Teaching,10,0.8333333333333334,48.166666666666664,False,40–49,New (<2 yrs)
Unit 3,Corporate,KCY2379,Ongoing," $75,000 ",Female,Indigenous,28,Non-Teaching,3,0.25,27.75,False,Under 30,New (<2 yrs)
Unit 4,Corporate,FQV1043,Ongoing," $130,000 ",Male,Non-Indigenous,59,Non-Teaching,291,24.25,34.75,False,50–59,10+ yrs
Unit 4,Corporate,XWL4728,Fixed Period," $200,000 ",Female,Non-Indigenous,53,Non-Teaching,13,1.0833333333333333,51.916666666666664,False,50–59,New (<2 yrs)
Unit 4,Corporate,ZKJ5165,Ongoing," $140,000 ",Female,Non-Indigenous,49,Non-Teaching,166,13.833333333333334,35.166666666666664,False,40–49,10+ yrs
Unit 4,Corporate,GWU7842,Ongoing," $130,000 ",Female,Non-Indigenous,30,Non-Teaching,120,10.0,20.0,False,30–39,10+ yrs
Unit 4,Corporate,DKG6381,Ongoing," $95,000 ",Female,Indigenous,35,Non-Teaching,74,6.166666666666667,28.833333333333332,False,30–39,5–10 yrs
Unit 4,Corporate,BDB7889,Fixed Period," $75,000 ",Female,Non-Indigenous,27,Non-Teaching,5,0.4166666666666667,26.583333333333332,False,Under 30,New (<2 yrs)
Unit 5,Corporate,IWK1293,Fixed Period," $160,000 ",Female,Indigenous,42,Teaching,45,3.75,38.25,False,40–49,2–5 yrs
Unit 5,School,YED3777,Fixed Period," $110,000 ",Male,Non-Indigenous,67,Teaching,526,43.833333333333336,23.166666666666664,False,60 and above,10+ yrs
Unit 5,School,CEG2789,Ongoing," $95,000 ",Female,Non-Indigenous,66,Non-Teaching,591,49.25,16.75,False,60 and above,10+ yrs
Unit 5,School,OMC1022,Ongoing," $110,000 ",Female,Non-Indigenous,66,Teaching,557,46.416666666666664,19.583333333333336,False,60 and above,10+ yrs
Unit 5,School,GEW6211,Ongoing," $160,000 ",Female,Non-Indigenous,61,Teaching,357,29.75,31.25,False,60 and above,10+ yrs
Unit 5,School,ECQ9644,Ongoing," $110,000 ",Female,Non-Indigenous,51,Teaching,357,29.75,21.25,False,50–59,10+ yrs
Unit 5,School,ZQR1126,Ongoing," $110,000 ",Female,Non-Indigenous,61,Teaching,357,29.75,31.25,False,60 and above,10+ yrs
Unit 5,School,HXH1137,Ongoing," $160,000 ",Female,Non-Indigenous,66,Teaching,357,29.75,36.25,False,60 and above,10+ yrs
Unit 5,School,AMK9221,Ongoing," $150,000 ",Female,Non-Indigenous,52,Teaching,356,29.666666666666668,22.333333333333332,False,50–59,10+ yrs
Unit 5,School,WQL6342,Ongoing," $110,000 ",Female,Non-Indigenous,61,Teaching,355,29.583333333333332,31.416666666666668,False,60 and above,10+ yrs
Unit 5,School,VBX1862,Ongoing," $110,000 ",Female,Non-Indigenous,57,Teaching,354,29.5,27.5,False,50–59,10+ yrs
Unit 5,School,TCY1985,Ongoing," $110,000 ",Female,Non-Indigenous,56,Teaching,353,29.416666666666668,26.583333333333332,False,50–59,10+ yrs
Unit 5,School,JUO4843,Ongoing," $110,000 ",Female,Non-Indigenous,44,Teaching,314,26.166666666666668,17.833333333333332,False,40–49,10+ yrs
Unit 5,School,LWH7610,Ongoing," $160,000 ",Male,Non-Indigenous,54,Teaching,321,26.75,27.25,False,50–59,10+ yrs
Unit 5,School,ZJD9054,Ongoing," $66,000 ",Female,Non-Indigenous,63,Non-Teaching,325,27.083333333333332,35.91666666666667,False,60 and above,10+ yrs
Unit 5,School,GRS8706,Ongoing," $66,000 ",Female,Non-Indigenous,70,Non-Teaching,321,26.75,43.25,False,60 and above,10+ yrs
Unit 5,School,MVE3200,Fixed Period," $150,000 ",Female,Non-Indigenous,67,Teaching,114,9.5,57.5,False,60 and above,5–10 yrs
Unit 5,School,UTF7315,Ongoing," $66,000 ",Female,Non-Indigenous,65,Non-Teaching,324,27.0,38.0,False,60 and above,10+ yrs
Unit 5,School,KGU1005,Ongoing," $110,000 ",Female,Non-Indigenous,49,Teaching,321,26.75,22.25,False,40–49,10+ yrs
Unit 5,School,DNR6362,Ongoing," $160,000 ",Female,Non-Indigenous,50,Teaching,321,26.75,23.25,False,50–59,10+ yrs
Unit 5,School,ITN3801,Ongoing," $66,000 ",Female,Non-Indigenous,65,Non-Teaching,319,26.583333333333332,38.41666666666667,False,60 and above,10+ yrs
Unit 5,School,EMV5076,Ongoing," $160,000 ",Female,Non-Indigenous,66,Teaching,318,26.5,39.5,False,60 and above,10+ yrs
Unit 5,School,ZTX7683,Ongoing," $160,000 ",Female,Non-Indigenous,66,Teaching,318,26.5,39.5,False,60 and above,10+ yrs
Unit 5,School,ULV4427,Ongoing," $110,000 ",Female,Non-Indigenous,51,Teaching,318,26.5,24.5,False,50–59,10+ yrs
Unit 5,School,ZKO1447,Ongoing," $160,000 ",Female,Non-Indigenous,49,Teaching,318,26.5,22.5,False,40–49,10+ yrs
Unit 5,School,HEV5169,Ongoing," $110,000 ",Female,Non-Indigenous,62,Teaching,318,26.5,35.5,False,60 and above,10+ yrs
Unit 5,School,KJM6748,Ongoing," $160,000 ",Female,Non-Indigenous,58,Teaching,315,26.25,31.75,False,50–59,10+ yrs
Unit 5,School,SPF7419,Fixed Period," $150,000 ",Female,Non-Indigenous,49,Teaching,57,4.75,44.25,False,40–49,2–5 yrs
Unit 5,School,TQC8501,Ongoing," $70,000 ",Male,Non-Indigenous,84,Non-Teaching,316,26.333333333333332,57.66666666666667,False,60 and above,10+ yrs
Unit 5,School,YKP9968,Ongoing," $110,000 ",Male,Non-Indigenous,60,Teaching,315,26.25,33.75,False,60 and above,10+ yrs
Unit 5,School,BMR3321,Ongoing," $110,000 ",Female,Non-Indigenous,71,Teaching,332,27.666666666666668,43.33333333333333,False,60 and above,10+ yrs
Unit 5,School,ELZ1748,Ongoing," $150,000 ",Female,Non-Indigenous,56,Teaching,9,0.75,55.25,False,50–59,New (<2 yrs)
Unit 5,School,LGW3743,Ongoing," $110,000 ",Female,Non-Indigenous,49,Teaching,333,27.75,21.25,False,40–49,10+ yrs
Unit 5,School,GKA7972,Ongoing," $160,000 ",Female,Non-Indigenous,56,Teaching,333,27.75,28.25,False,50–59,10+ yrs
Unit 5,School,EAA5011,Ongoing," $110,000 ",Male,Non-Indigenous,51,Teaching,332,27.666666666666668,23.333333333333332,False,50–59,10+ yrs
Unit 5,School,SNN8232,Ongoing," $100,000 ",Female,Non-Indigenous,64,Non-Teaching,333,27.75,36.25,False,60 and above,10+ yrs
Unit 5,School,TMB9613,Ongoing," $110,000 ",Female,Non-Indigenous,50,Teaching,332,27.666666666666668,22.333333333333332,False,50–59,10+ yrs
Unit 5,School,KDT1033,Ongoing," $66,000 ",Female,Non-Indigenous,48,Non-Teaching,333,27.75,20.25,False,40–49,10+ yrs
Unit 5,School,FEU9134,Ongoing," $110,000 ",Male,Non-Indigenous,58,Teaching,330,27.5,30.5,False,50–59,10+ yrs
Unit 5,School,FRE6889,Ongoing," $110,000 ",Female,Non-Indigenous,71,Teaching,329,27.416666666666668,43.58333333333333,False,60 and above,10+ yrs
Unit 5,School,XJO3168,Ongoing," $110,000 ",Female,Non-Indigenous,59,Teaching,327,27.25,31.75,False,50–59,10+ yrs
Unit 5,School,KJR1460,Ongoing," $110,000 ",Female,Indigenous,45,Teaching,330,27.5,17.5,False,40–49,10+ yrs
Unit 5,School,DUB3438,Ongoing," $110,000 ",Male,Non-Indigenous,60,Teaching,344,28.666666666666668,31.333333333333332,False,60 and above,10+ yrs
Unit 5,School,CDZ2245,Ongoing," $110,000 ",Female,Non-Indigenous,52,Teaching,341,28.416666666666668,23.583333333333332,False,50–59,10+ yrs
Unit 5,School,KJE2028,Ongoing," $110,000 ",Male,Non-Indigenous,66,Teaching,341,28.416666666666668,37.58333333333333,False,60 and above,10+ yrs
Unit 5,School,UEE4415,Ongoing," $110,000 ",Female,Non-Indigenous,63,Teaching,340,28.333333333333332,34.66666666666667,False,60 and above,10+ yrs
Unit 5,School,KSV7427,Ongoing," $110,000 ",Female,Non-Indigenous,52,Teaching,339,28.25,23.75,False,50–59,10+ yrs
Unit 5,School,HLD6081,Ongoing," $110,000 ",Female,Non-Indigenous,63,Teaching,336,28.0,35.0,False,60 and above,10+ yrs
Unit 5,School,JCI7809,Ongoing," $110,000 ",Male,Non-Indigenous,56,Teaching,335,27.916666666666668,28.083333333333332,False,50–59,10+ yrs
Unit 5,School,RVM5649,Ongoing," $110,000 ",Female,Non-Indigenous,56,Teaching,351,29.25,26.75,False,50–59,10+ yrs
Unit 5,School,GFO3309,Ongoing," $160,000 ",Male,Non-Indigenous,55,Teaching,345,28.75,26.25,False,50–59,10+ yrs
Unit 5,School,UTH4840,Ongoing," $110,000 ",Female,Non-Indigenous,50,Teaching,345,28.75,21.25,False,50–59,10+ yrs
Unit 5,School,RVO9500,Ongoing," $110,000 ",Male,Non-Indigenous,60,Teaching,315,26.25,33.75,False,60 and above,10+ yrs
Unit 5,School,VJF8078,Ongoing," $160,000 ",Female,Non-Indigenous,64,Teaching,315,26.25,37.75,False,60 and above,10+ yrs
Unit 5,School,MDW7524,Ongoing," $110,000 ",Female,Non-Indigenous,53,Teaching,315,26.25,26.75,False,50–59,10+ yrs
Unit 5,School,CGP1322,Ongoing," $66,000 ",Female,Non-Indigenous,81,Non-Teaching,315,26.25,54.75,False,60 and above,10+ yrs
Unit 5,School,QDO1784,Ongoing," $110,000 ",Female,Non-Indigenous,48,Teaching,312,26.0,22.0,False,40–49,10+ yrs
Unit 5,School,KRC7600,Ongoing," $110,000 ",Male,Non-Indigenous,72,Teaching,312,26.0,46.0,False,60 and above,10+ yrs
Unit 5,School,IUZ3724,Ongoing," $160,000 ",Female,Non-Indigenous,56,Teaching,312,26.0,30.0,False,50–59,10+ yrs
Unit 5,School,AKE3229,Ongoing," $110,000 ",Female,Non-Indigenous,58,Teaching,309,25.75,32.25,False,50–59,10+ yrs
Unit 5,School,WIQ5027,Ongoing," $110,000 ",Female,Non-Indigenous,68,Teaching,309,25.75,42.25,False,60 and above,10+ yrs
Unit 5,School,ZBM3688,Ongoing," $110,000 ",Female,Non-Indigenous,56,Teaching,309,25.75,30.25,False,50–59,10+ yrs
Unit 5,School,UIJ4801,Ongoing," $110,000 ",Female,Non-Indigenous,57,Teaching,309,25.75,31.25,False,50–59,10+ yrs
Unit 5,School,YQM6032,Ongoing," $160,000 ",Female,Non-Indigenous,50,Teaching,309,25.75,24.25,False,50–59,10+ yrs
Unit 5,School,XXI1142,Ongoing," $110,000 ",Female,Non-Indigenous,47,Teaching,309,25.75,21.25,False,40–49,10+ yrs
Unit 5,School,DUT4365,Ongoing," $88,000 ",Female,Indigenous,44,Non-Teaching,306,25.5,18.5,False,40–49,10+ yrs
Unit 5,School,EEO5105,Ongoing," $110,000 ",Female,Non-Indigenous,64,Teaching,306,25.5,38.5,False,60 and above,10+ yrs
Unit 5,School,KII4337,Ongoing," $110,000 ",Female,Non-Indigenous,48,Teaching,308,25.666666666666668,22.333333333333332,False,40–49,10+ yrs
Unit 5,School,MQY2874,Ongoing," $66,000 ",Female,Non-Indigenous,51,Non-Teaching,309,25.75,25.25,False,50–59,10+ yrs
Unit 5,School,VXQ1914,Ongoing," $75,000 ",Male,Non-Indigenous,61,Non-Teaching,297,24.75,36.25,False,60 and above,10+ yrs
Unit 5,School,VYI9982,Ongoing," $160,000 ",Female,Non-Indigenous,55,Teaching,254,21.166666666666668,33.83333333333333,False,50–59,10+ yrs
Unit 5,School,OTJ5143,Ongoing," $150,000 ",Female,Non-Indigenous,45,Teaching,253,21.083333333333332,23.916666666666668,False,40–49,10+ yrs
Unit 5,School,USJ3713,Ongoing," $75,000 ",Female,Non-Indigenous,67,Non-Teaching,252,21.0,46.0,False,60 and above,10+ yrs
Unit 5,School,JWA6824,Ongoing," $110,000 ",Female,Non-Indigenous,63,Teaching,249,20.75,42.25,False,60 and above,10+ yrs
Unit 5,School,DWO1091,Ongoing," $95,000 ",Female,Non-Indigenous,62,Non-Teaching,249,20.75,41.25,False,60 and above,10+ yrs
Unit 5,School,TSR7402,Ongoing," $110,000 ",Female,Non-Indigenous,49,Teaching,249,20.75,28.25,False,40–49,10+ yrs
Unit 5,School,LXS3370,Ongoing," $75,000 ",Male,Non-Indigenous,75,Non-Teaching,251,20.916666666666668,54.08333333333333,False,60 and above,10+ yrs
Unit 5,School,EZE9325,Ongoing," $66,000 ",Female,Non-Indigenous,64,Non-Teaching,250,20.833333333333332,43.16666666666667,False,60 and above,10+ yrs
Unit 5,School,JBF3762,Ongoing," $110,000 ",Male,Non-Indigenous,65,Teaching,276,23.0,42.0,False,60 and above,10+ yrs
Unit 5,School,LMP9182,Ongoing," $110,000 ",Female,Non-Indigenous,70,Teaching,273,22.75,47.25,False,60 and above,10+ yrs
Unit 5,School,RZY6884,Ongoing," $160,000 ",Male,Non-Indigenous,65,Teaching,273,22.75,42.25,False,60 and above,10+ yrs
Unit 5,School,UDV5691,Ongoing," $110,000 ",Female,Non-Indigenous,62,Teaching,275,22.916666666666668,39.08333333333333,False,60 and above,10+ yrs
Unit 5,School,EWJ7620,Ongoing," $110,000 ",Female,Non-Indigenous,58,Teaching,273,22.75,35.25,False,50–59,10+ yrs
Unit 5,School,YWR7026,Ongoing," $110,000 ",Female,Non-Indigenous,58,Teaching,273,22.75,35.25,False,50–59,10+ yrs
Unit 5,School,KMQ2986,Ongoing," $110,000 ",Female,Non-Indigenous,44,Teaching,273,22.75,21.25,False,40–49,10+ yrs
Unit 5,School,VOY1583,Ongoing," $110,000 ",Female,Non-Indigenous,63,Teaching,273,22.75,40.25,False,60 and above,10+ yrs
Unit 5,School,XYL1825,Ongoing," $160,000 ",Male,Non-Indigenous,53,Teaching,277,23.083333333333332,29.916666666666668,False,50–59,10+ yrs
Unit 5,School,JWK2557,Ongoing," $110,000 ",Female,Non-Indigenous,70,Teaching,278,23.166666666666668,46.83333333333333,False,60 and above,10+ yrs
Unit 5,School,TLM1127,Ongoing," $66,000 ",Female,Non-Indigenous,66,Non-Teaching,303,25.25,40.75,False,60 and above,10+ yrs
Unit 5,School,EUB8253,Ongoing," $110,000 ",Female,Non-Indigenous,57,Teaching,300,25.0,32.0,False,50–59,10+ yrs
Unit 5,School,OWM4121,Ongoing," $110,000 ",Female,Non-Indigenous,64,Teaching,297,24.75,39.25,False,60 and above,10+ yrs
Unit 5,School,XNX2891,Ongoing," $160,000 ",Male,Non-Indigenous,69,Teaching,297,24.75,44.25,False,60 and above,10+ yrs
Unit 5,School,SWR7191,Ongoing," $160,000 ",Female,Non-Indigenous,46,Teaching,297,24.75,21.25,False,40–49,10+ yrs
Unit 5,School,XYL9945,Ongoing," $110,000 ",Female,Non-Indigenous,51,Teaching,297,24.75,26.25,False,50–59,10+ yrs
Unit 5,School,GFG9524,Ongoing," $150,000 ",Male,Non-Indigenous,51,Teaching,27,2.25,48.75,False,50–59,2–5 yrs
Unit 5,School,ELB3356,Ongoing," $160,000 ",Female,Non-Indigenous,48,Teaching,297,24.75,23.25,False,40–49,10+ yrs
Unit 5,School,MYD3270,Ongoing," $110,000 ",Female,Non-Indigenous,52,Teaching,296,24.666666666666668,27.333333333333332,False,50–59,10+ yrs
Unit 5,School,ZDU4591,Ongoing," $160,000 ",Female,Non-Indigenous,50,Teaching,296,24.666666666666668,25.333333333333332,False,50–59,10+ yrs
Unit 5,School,DPE8287,Ongoing," $110,000 ",Female,Non-Indigenous,53,Teaching,294,24.5,28.5,False,50–59,10+ yrs
Unit 5,School,CIC6556,Ongoing," $110,000 ",Female,Non-Indigenous,63,Teaching,294,24.5,38.5,False,60 and above,10+ yrs
Unit 5,School,QKM7083,Fixed Period," $150,000 ",Female,Non-Indigenous,58,Teaching,159,13.25,44.75,False,50–59,10+ yrs
Unit 5,School,GWB2692,Ongoing," $160,000 ",Female,Non-Indigenous,47,Teaching,271,22.583333333333332,24.416666666666668,False,40–49,10+ yrs
Unit 5,School,CEN3724,Ongoing," $110,000 ",Female,Non-Indigenous,53,Teaching,261,21.75,31.25,False,50–59,10+ yrs
Unit 5,School,EFX3355,Fixed Period," $150,000 ",Female,Non-Indigenous,47,Teaching,9,0.75,46.25,False,40–49,New (<2 yrs)
Unit 5,School,CEU4175,Ongoing," $110,000 ",Male,Non-Indigenous,63,Teaching,266,22.166666666666668,40.83333333333333,False,60 and above,10+ yrs
Unit 5,School,TKG2391,Ongoing," $66,000 ",Female,Non-Indigenous,58,Non-Teaching,266,22.166666666666668,35.83333333333333,False,50–59,10+ yrs
Unit 5,School,ZXW5435,Ongoing," $110,000 ",Female,Non-Indigenous,48,Teaching,265,22.083333333333332,25.916666666666668,False,40–49,10+ yrs
Unit 5,School,QAW8013,Ongoing," $110,000 ",Female,Non-Indigenous,49,Teaching,264,22.0,27.0,False,40–49,10+ yrs
Unit 5,School,TVB9090,Ongoing," $160,000 ",Male,Non-Indigenous,48,Teaching,264,22.0,26.0,False,40–49,10+ yrs
Unit 5,School,YNV3203,Ongoing," $110,000 ",Female,Non-Indigenous,62,Teaching,261,21.75,40.25,False,60 and above,10+ yrs
Unit 5,School,BLE3898,Ongoing," $110,000 ",Female,Non-Indigenous,54,Teaching,261,21.75,32.25,False,50–59,10+ yrs
Unit 5,School,ZXI3821,Ongoing," $110,000 ",Female,Non-Indigenous,44,Teaching,261,21.75,22.25,False,40–49,10+ yrs
Unit 5,School,GCX8600,Ongoing," $95,000 ",Male,Non-Indigenous,42,Non-Teaching,278,23.166666666666668,18.833333333333332,False,40–49,10+ yrs
Unit 5,School,ETA3926,Ongoing," $110,000 ",Male,Non-Indigenous,49,Teaching,276,23.0,26.0,False,40–49,10+ yrs
Unit 5,School,BLD5078,Ongoing," $110,000 ",Female,Non-Indigenous,55,Teaching,276,23.0,32.0,False,50–59,10+ yrs
